datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,date_utc,funding_rate_day_sum,funding_points_in_day
2023-04-17 00:00:00+00:00,2118.09,2120.64,2055.5,2074.49,3410289.359,7103102832.76539,2859924,1647145.819,3431051499.1468,2023-04-17,0.00030000000000000003,3
2023-04-18 00:00:00+00:00,2074.49,2126.63,2047.64,2103.29,3542599.96,7413341871.08492,2774522,1766262.151,3696879801.99428,2023-04-18,0.00030000000000000003,3
2023-04-19 00:00:00+00:00,2103.29,2104.61,1921.0,1932.83,5712106.365,11407976091.09683,4126727,2667159.932,5326482466.18793,2023-04-19,0.00018985,3
2023-04-20 00:00:00+00:00,1932.83,1983.22,1905.75,1942.11,4486102.176,8732216194.09306,3711473,2222261.06,4326602211.68515,2023-04-20,8.719999999999999e-05,3
2023-04-21 00:00:00+00:00,1942.1,1956.82,1822.01,1848.0,5520829.389,10453785961.75719,4357957,2641596.857,5003625098.95889,2023-04-21,0.00024010999999999998,3
2023-04-22 00:00:00+00:00,1848.01,1886.5,1839.26,1873.39,2233900.931,4160733028.8103,2272920,1119672.613,2085214278.25238,2023-04-22,7.753e-05,3
2023-04-23 00:00:00+00:00,1873.4,1882.11,1833.3,1861.3,2624859.049,4883738761.28466,2665310,1305043.384,2428432345.35332,2023-04-23,-9.899999999999997e-06,3
2023-04-24 00:00:00+00:00,1861.3,1891.3,1806.0,1841.19,4637382.676,8559463422.76587,4745194,2287738.248,4224048896.18997,2023-04-24,0.00015391,3
2023-04-25 00:00:00+00:00,1841.19,1877.6,1797.98,1865.4,4166439.286,7632322493.54573,3976737,2091177.016,3831528588.22671,2023-04-25,0.00023337,3
2023-04-26 00:00:00+00:00,1865.4,1964.7,1782.03,1865.02,7328089.271,13832491013.22545,5679035,3695812.494,6977627362.62568,2023-04-26,0.00013793,3
2023-04-27 00:00:00+00:00,1865.03,1939.4,1858.55,1907.67,5486808.619,10425583648.13769,4977700,2753424.414,5232410799.49907,2023-04-27,7.055e-05,3
2023-04-28 00:00:00+00:00,1907.68,1923.63,1873.0,1890.13,3142216.755,5966985911.23344,3231156,1555648.862,2954454701.52911,2023-04-28,0.0002517,3
2023-04-29 00:00:00+00:00,1890.13,1917.27,1881.1,1907.01,1593882.469,3028671705.69795,1843721,801874.241,1523881447.31421,2023-04-29,0.00016551,3
2023-04-30 00:00:00+00:00,1907.01,1940.0,1863.9,1868.41,2977980.167,5678023570.39942,2825844,1467497.441,2799231252.08699,2023-04-30,0.00014381,3
2023-05-01 00:00:00+00:00,1868.41,1885.56,1805.28,1829.97,3740379.561,6871929627.84383,3275823,1830613.967,3363413507.18168,2023-05-01,5.549999999999999e-06,3
2023-05-02 00:00:00+00:00,1829.97,1882.6,1821.25,1869.2,3065412.118,5666257518.06199,2920972,1566367.567,2895813904.70639,2023-05-02,0.00020617999999999998,3
2023-05-03 00:00:00+00:00,1869.21,1917.29,1841.71,1904.74,4144638.549,7762176084.36052,3834345,2084102.485,3904150577.56949,2023-05-03,0.00026072,3
2023-05-04 00:00:00+00:00,1904.74,1918.61,1865.72,1876.13,2639262.752,4990059178.68051,2865588,1307120.209,2471883108.18078,2023-05-04,0.000299,3
2023-05-05 00:00:00+00:00,1876.14,2004.99,1874.8,1992.56,5053850.5,9793284393.60356,4405236,2645323.467,5126920613.02304,2023-05-05,0.00019234999999999999,3
2023-05-06 00:00:00+00:00,1992.55,2023.66,1850.0,1895.29,4880833.923,9391662414.45572,4331607,2335719.163,4495936476.70929,2023-05-06,0.00020694000000000002,3
2023-05-07 00:00:00+00:00,1895.3,1933.0,1865.32,1869.5,3198475.667,6096392897.08655,3623305,1581694.343,3015322457.35376,2023-05-07,8.5e-05,3
2023-05-08 00:00:00+00:00,1869.51,1883.17,1810.0,1846.54,4905366.653,9079925715.77355,4414300,2425054.549,4489152431.03952,2023-05-08,0.00010290000000000001,3
2023-05-09 00:00:00+00:00,1846.54,1863.0,1830.05,1845.8,2509784.607,4627725853.77786,2740860,1254792.082,2313863067.69182,2023-05-09,0.00024845,3
2023-05-10 00:00:00+00:00,1845.8,1887.0,1785.74,1839.86,4903103.427,9053981839.2211,4212083,2438669.534,4503877518.60249,2023-05-10,0.00013449,3
2023-05-11 00:00:00+00:00,1839.86,1841.54,1768.42,1793.24,4005939.727,7238023894.70517,3699503,1937174.275,3500784423.38762,2023-05-11,7.227999999999999e-05,3
2023-05-12 00:00:00+00:00,1793.25,1820.0,1735.37,1806.53,4274267.712,7571365343.22157,3793847,2146412.837,3803189298.92513,2023-05-12,1.367e-05,3
2023-05-13 00:00:00+00:00,1806.53,1816.24,1784.0,1794.44,1794108.348,3228545808.33887,1928232,893679.793,1608308396.32891,2023-05-13,6.081e-05,3
2023-05-14 00:00:00+00:00,1794.44,1825.27,1789.41,1798.25,2065119.626,3725543210.17867,1990969,1037074.513,1871085659.43365,2023-05-14,8.804e-05,3
2023-05-15 00:00:00+00:00,1798.26,1848.0,1783.51,1815.56,3062945.098,5584428011.28594,2813445,1536012.036,2800955529.68282,2023-05-15,-4.1320000000000004e-05,3
2023-05-16 00:00:00+00:00,1815.56,1832.93,1795.0,1823.53,2559941.664,4647961186.01632,2426443,1279790.757,2323938833.42156,2023-05-16,5.704e-05,3
2023-05-17 00:00:00+00:00,1823.52,1837.85,1781.0,1821.65,3158227.207,5716856398.18019,2852611,1586505.255,2872559989.96547,2023-05-17,0.00011214,3
2023-05-18 00:00:00+00:00,1821.65,1831.46,1770.0,1799.69,3046459.303,5507830657.71073,2673556,1501702.18,2715545013.97381,2023-05-18,0.00019569999999999999,3
2023-05-19 00:00:00+00:00,1799.69,1830.0,1795.72,1811.38,2142895.0,3879976465.72274,1972008,1083337.571,1961760925.05395,2023-05-19,0.00017578,3
2023-05-20 00:00:00+00:00,1811.38,1828.88,1805.96,1818.59,1031296.976,1872602029.56196,1171963,525012.243,953468413.18907,2023-05-20,8.545e-05,3
2023-05-21 00:00:00+00:00,1818.59,1828.91,1794.45,1803.89,1397629.152,2530470510.36566,1365112,675392.146,1222916182.3177,2023-05-21,6.558e-05,3
2023-05-22 00:00:00+00:00,1803.9,1827.99,1790.76,1816.67,2270653.543,4115022438.72039,1983728,1161096.269,2104416852.50256,2023-05-22,0.00016949,3
2023-05-23 00:00:00+00:00,1816.68,1874.23,1814.25,1853.36,2935200.681,5428836551.9576,2374643,1524584.779,2819330935.33901,2023-05-23,0.00020169,3
2023-05-24 00:00:00+00:00,1853.37,1853.5,1775.0,1798.84,3607753.797,6525113256.73166,2854180,1719674.2,3109755475.54553,2023-05-24,0.00015001,3
2023-05-25 00:00:00+00:00,1798.84,1819.93,1758.0,1804.65,2893039.67,5185691223.35058,2045504,1458064.396,2614314878.95182,2023-05-25,8.202e-05,3
